"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33375","test_clear_cart[chromium]","topMarket_project.tests","Thu Apr 30 20:19:13 UTC 2026","broken","Thu Apr 30 20:19:46 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","567","test_invalid_email[chromium]","topMarket_project.tests","Thu Apr 30 20:24:45 UTC 2026","passed","Thu Apr 30 20:24:45 UTC 2026","TestRegister","test_subscribe","",""
"","32422","test_view_cart[chromium]","topMarket_project.tests","Thu Apr 30 20:24:52 UTC 2026","failed","Thu Apr 30 20:25:25 UTC 2026","TestViewCart","test_view_cart","",""
"","1794","test_is_search_page[chromium]","topMarket_project.tests","Thu Apr 30 20:21:41 UTC 2026","passed","Thu Apr 30 20:21:43 UTC 2026","TestSearchProduct","test_search_product","",""
"","1895","test_product_not_found[chromium]","topMarket_project.tests","Thu Apr 30 20:21:48 UTC 2026","passed","Thu Apr 30 20:21:50 UTC 2026","TestSearchProduct","test_search_product","",""
"","22768","test_proceed_to_checkout[chromium]","topMarket_project.tests","Thu Apr 30 20:20:16 UTC 2026","passed","Thu Apr 30 20:20:38 UTC 2026","TestProceedToCheckout","test_proceed_to_checkout","",""
"","2013","test_search_product[chromium]","topMarket_project.tests","Thu Apr 30 20:21:44 UTC 2026","passed","Thu Apr 30 20:21:46 UTC 2026","TestSearchProduct","test_search_product","",""
"","3056","test_choose_item[chromium]","topMarket_project.tests","Thu Apr 30 20:19:08 UTC 2026","passed","Thu Apr 30 20:19:11 UTC 2026","TestChooseItem","test_choose_item","",""
"","24113","test_add_to_cart2[chromium]","topMarket_project.tests","Thu Apr 30 20:18:42 UTC 2026","failed","Thu Apr 30 20:19:06 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","58515","test_remove_product_from_cart[chromium]","topMarket_project.tests","Thu Apr 30 20:20:40 UTC 2026","broken","Thu Apr 30 20:21:39 UTC 2026","TestRemoveFromCart","test_remove_from_cart","",""
"","32784","test_share_product[chromium]","topMarket_project.tests","Thu Apr 30 20:22:13 UTC 2026","broken","Thu Apr 30 20:22:46 UTC 2026","TestShareProduct","test_share_product","",""
"","3991","test_add_to_cart[chromium]","topMarket_project.tests","Thu Apr 30 20:18:37 UTC 2026","passed","Thu Apr 30 20:18:41 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","3097","test_feature_product[chromium]","topMarket_project.tests","Thu Apr 30 20:20:11 UTC 2026","passed","Thu Apr 30 20:20:14 UTC 2026","TestFeaturesProduct","test_features_product","",""
"","22588","test_verify_checkout_page[chromium]","topMarket_project.tests","Thu Apr 30 20:22:48 UTC 2026","passed","Thu Apr 30 20:23:10 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","31680","test_summary_item[chromium]","topMarket_project.tests","Thu Apr 30 20:24:07 UTC 2026","broken","Thu Apr 30 20:24:39 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","570","test_radio_btn_must[chromium]","topMarket_project.tests","Thu Apr 30 20:24:47 UTC 2026","passed","Thu Apr 30 20:24:48 UTC 2026","TestRegister","test_subscribe","",""
"","21434","test_close_cart[chromium]","topMarket_project.tests","Thu Apr 30 20:19:48 UTC 2026","passed","Thu Apr 30 20:20:09 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","31448","test_add_quantity_in_cart[chromium]","topMarket_project.tests","Thu Apr 30 20:18:04 UTC 2026","broken","Thu Apr 30 20:18:35 UTC 2026","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","23179","test_mandatory_field[chromium]","topMarket_project.tests","Thu Apr 30 20:23:42 UTC 2026","passed","Thu Apr 30 20:24:05 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","1834","test_register_success[chromium]","topMarket_project.tests","Thu Apr 30 20:24:41 UTC 2026","passed","Thu Apr 30 20:24:43 UTC 2026","TestRegister","test_subscribe","",""
"","20260","test_names_item_in_cart[chromium]","topMarket_project.tests","Thu Apr 30 20:21:52 UTC 2026","failed","Thu Apr 30 20:22:12 UTC 2026","TestSearchProductInCart","test_search_product_in_cart","",""
"","28085","test_submit_successfully[chromium]","topMarket_project.tests","Thu Apr 30 20:23:12 UTC 2026","passed","Thu Apr 30 20:23:40 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","1266","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","Thu Apr 30 20:24:49 UTC 2026","broken","Thu Apr 30 20:24:51 UTC 2026","TestTermsAndConditions","test_terms_and_coditions","",""
