"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6333","test_clear_cart[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestClearCart","test_clear_close_cart","",""
"","1828","test_search_product[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestSearchProduct","test_search_product","",""
"","992","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestTermsAndConditions","test_terms_and_coditions","",""
"","5097","test_close_cart[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestClearCart","test_clear_close_cart","",""
"","2873","test_choose_item[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestChooseItem","test_choose_item","",""
"","23756","test_view_cart[chromium]","topMarket_project.tests","2026-06-15","broken","2026-06-15","TestViewCart","test_view_cart","",""
"","3689","test_add_to_cart[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestAddToCart","test_add_to_cart","",""
"","16282","test_register_success[chromium]","topMarket_project.tests","2026-06-15","broken","2026-06-15","TestRegister","test_subscribe","",""
"","22230","test_add_to_cart2[chromium]","topMarket_project.tests","2026-06-15","broken","2026-06-15","TestAddToCart","test_add_to_cart","",""
"","6769","test_proceed_to_checkout[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestProceedToCheckout","test_proceed_to_checkout","",""
"","24018","test_submit_successfully[chromium]","topMarket_project.tests","2026-06-15","broken","2026-06-15","TestSubmitThePurchase","test_submit_the_purchase","",""
"","15353","test_remove_product_from_cart[chromium]","topMarket_project.tests","2026-06-15","failed","2026-06-15","TestRemoveFromCart","test_remove_from_cart","",""
"","1615","test_product_not_found[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestSearchProduct","test_search_product","",""
"","6084","test_verify_checkout_page[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestSubmitThePurchase","test_submit_the_purchase","",""
"","4738","test_names_item_in_cart[chromium]","topMarket_project.tests","2026-06-15","failed","2026-06-15","TestSearchProductInCart","test_search_product_in_cart","",""
"","938","test_invalid_email[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestRegister","test_subscribe","",""
"","2557","test_share_product[chromium]","topMarket_project.tests","2026-06-15","failed","2026-06-15","TestShareProduct","test_share_product","",""
"","16783","test_summary_item[chromium]","topMarket_project.tests","2026-06-15","broken","2026-06-15","TestSubmitThePurchase","test_submit_the_purchase","",""
"","8548","test_mandatory_field[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestSubmitThePurchase","test_submit_the_purchase","",""
"","3125","test_feature_product[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestFeaturesProduct","test_features_product","",""
"","16416","test_add_quantity_in_cart[chromium]","topMarket_project.tests","2026-06-15","broken","2026-06-15","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","605","test_radio_btn_must[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestRegister","test_subscribe","",""
"","2256","test_is_search_page[chromium]","topMarket_project.tests","2026-06-15","passed","2026-06-15","TestSearchProduct","test_search_product","",""
