"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","test_radio_btn_must[chromium]","topMarket_project.tests","Wed May 13 05:52:07 UTC 2026","passed","Wed May 13 05:52:07 UTC 2026","TestRegister","test_subscribe","",""
"","17932","test_names_item_in_cart[chromium]","topMarket_project.tests","Wed May 13 05:50:07 UTC 2026","broken","Wed May 13 05:50:25 UTC 2026","TestSearchProductInCart","test_search_product_in_cart","",""
"","25013","test_view_cart[chromium]","topMarket_project.tests","Wed May 13 05:52:10 UTC 2026","broken","Wed May 13 05:52:35 UTC 2026","TestViewCart","test_view_cart","",""
"","5788","test_close_cart[chromium]","topMarket_project.tests","Wed May 13 05:49:22 UTC 2026","passed","Wed May 13 05:49:28 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","16474","test_share_product[chromium]","topMarket_project.tests","Wed May 13 05:50:26 UTC 2026","broken","Wed May 13 05:50:42 UTC 2026","TestShareProduct","test_share_product","",""
"","18257","test_mandatory_field[chromium]","topMarket_project.tests","Wed May 13 05:51:10 UTC 2026","broken","Wed May 13 05:51:28 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","16845","test_remove_product_from_cart[chromium]","topMarket_project.tests","Wed May 13 05:49:41 UTC 2026","failed","Wed May 13 05:49:58 UTC 2026","TestRemoveFromCart","test_remove_from_cart","",""
"","2265","test_is_search_page[chromium]","topMarket_project.tests","Wed May 13 05:49:58 UTC 2026","passed","Wed May 13 05:50:01 UTC 2026","TestSearchProduct","test_search_product","",""
"","1940","test_product_not_found[chromium]","topMarket_project.tests","Wed May 13 05:50:04 UTC 2026","passed","Wed May 13 05:50:06 UTC 2026","TestSearchProduct","test_search_product","",""
"","16499","test_summary_item[chromium]","topMarket_project.tests","Wed May 13 05:51:30 UTC 2026","broken","Wed May 13 05:51:46 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","6001","test_verify_checkout_page[chromium]","topMarket_project.tests","Wed May 13 05:50:43 UTC 2026","passed","Wed May 13 05:50:49 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","5488","test_clear_cart[chromium]","topMarket_project.tests","Wed May 13 05:49:16 UTC 2026","passed","Wed May 13 05:49:21 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","18530","test_submit_successfully[chromium]","topMarket_project.tests","Wed May 13 05:50:50 UTC 2026","broken","Wed May 13 05:51:09 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","16482","test_register_success[chromium]","topMarket_project.tests","Wed May 13 05:51:47 UTC 2026","broken","Wed May 13 05:52:03 UTC 2026","TestRegister","test_subscribe","",""
"","3612","test_add_to_cart[chromium]","topMarket_project.tests","Wed May 13 05:48:57 UTC 2026","passed","Wed May 13 05:49:01 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","9158","test_add_to_cart2[chromium]","topMarket_project.tests","Wed May 13 05:49:02 UTC 2026","passed","Wed May 13 05:49:11 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","16444","test_add_quantity_in_cart[chromium]","topMarket_project.tests","Wed May 13 05:48:40 UTC 2026","broken","Wed May 13 05:48:56 UTC 2026","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","2858","test_choose_item[chromium]","topMarket_project.tests","Wed May 13 05:49:12 UTC 2026","passed","Wed May 13 05:49:15 UTC 2026","TestChooseItem","test_choose_item","",""
"","2840","test_feature_product[chromium]","topMarket_project.tests","Wed May 13 05:49:29 UTC 2026","passed","Wed May 13 05:49:32 UTC 2026","TestFeaturesProduct","test_features_product","",""
"","7537","test_proceed_to_checkout[chromium]","topMarket_project.tests","Wed May 13 05:49:32 UTC 2026","passed","Wed May 13 05:49:40 UTC 2026","TestProceedToCheckout","test_proceed_to_checkout","",""
"","764","test_invalid_email[chromium]","topMarket_project.tests","Wed May 13 05:52:04 UTC 2026","passed","Wed May 13 05:52:05 UTC 2026","TestRegister","test_subscribe","",""
"","967","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","Wed May 13 05:52:08 UTC 2026","passed","Wed May 13 05:52:09 UTC 2026","TestTermsAndConditions","test_terms_and_coditions","",""
"","2137","test_search_product[chromium]","topMarket_project.tests","Wed May 13 05:50:01 UTC 2026","passed","Wed May 13 05:50:03 UTC 2026","TestSearchProduct","test_search_product","",""
