"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3323","test_add_to_cart[chromium]","topMarket_project.tests","Fri May 08 07:12:15 UTC 2026","passed","Fri May 08 07:12:18 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","31833","test_register_success[chromium]","topMarket_project.tests","Fri May 08 07:18:35 UTC 2026","broken","Fri May 08 07:19:06 UTC 2026","TestRegister","test_subscribe","",""
"","33230","test_verify_checkout_page[chromium]","topMarket_project.tests","Fri May 08 07:16:25 UTC 2026","broken","Fri May 08 07:16:59 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","31150","test_summary_item[chromium]","topMarket_project.tests","Fri May 08 07:18:02 UTC 2026","broken","Fri May 08 07:18:33 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","41489","test_view_cart[chromium]","topMarket_project.tests","Fri May 08 07:19:15 UTC 2026","broken","Fri May 08 07:19:57 UTC 2026","TestViewCart","test_view_cart","",""
"","24167","test_mandatory_field[chromium]","topMarket_project.tests","Fri May 08 07:17:36 UTC 2026","passed","Fri May 08 07:18:00 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","33239","test_proceed_to_checkout[chromium]","topMarket_project.tests","Fri May 08 07:13:48 UTC 2026","broken","Fri May 08 07:14:22 UTC 2026","TestProceedToCheckout","test_proceed_to_checkout","",""
"","504","test_radio_btn_must[chromium]","topMarket_project.tests","Fri May 08 07:19:10 UTC 2026","passed","Fri May 08 07:19:11 UTC 2026","TestRegister","test_subscribe","",""
"","1922","test_search_product[chromium]","topMarket_project.tests","Fri May 08 07:15:11 UTC 2026","passed","Fri May 08 07:15:13 UTC 2026","TestSearchProduct","test_search_product","",""
"","31984","test_names_item_in_cart[chromium]","topMarket_project.tests","Fri May 08 07:15:17 UTC 2026","broken","Fri May 08 07:15:49 UTC 2026","TestSearchProductInCart","test_search_product_in_cart","",""
"","1705","test_product_not_found[chromium]","topMarket_project.tests","Fri May 08 07:15:14 UTC 2026","passed","Fri May 08 07:15:16 UTC 2026","TestSearchProduct","test_search_product","",""
"","33697","test_submit_successfully[chromium]","topMarket_project.tests","Fri May 08 07:17:01 UTC 2026","broken","Fri May 08 07:17:34 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","32368","test_share_product[chromium]","topMarket_project.tests","Fri May 08 07:15:51 UTC 2026","broken","Fri May 08 07:16:24 UTC 2026","TestShareProduct","test_share_product","",""
"","1164","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","Fri May 08 07:19:12 UTC 2026","broken","Fri May 08 07:19:13 UTC 2026","TestTermsAndConditions","test_terms_and_coditions","",""
"","32961","test_clear_cart[chromium]","topMarket_project.tests","Fri May 08 07:12:47 UTC 2026","broken","Fri May 08 07:13:20 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","21842","test_add_to_cart2[chromium]","topMarket_project.tests","Fri May 08 07:12:20 UTC 2026","failed","Fri May 08 07:12:42 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","41183","test_remove_product_from_cart[chromium]","topMarket_project.tests","Fri May 08 07:14:23 UTC 2026","broken","Fri May 08 07:15:05 UTC 2026","TestRemoveFromCart","test_remove_from_cart","",""
"","20489","test_close_cart[chromium]","topMarket_project.tests","Fri May 08 07:13:22 UTC 2026","passed","Fri May 08 07:13:43 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","679","test_invalid_email[chromium]","topMarket_project.tests","Fri May 08 07:19:08 UTC 2026","passed","Fri May 08 07:19:09 UTC 2026","TestRegister","test_subscribe","",""
"","31434","test_add_quantity_in_cart[chromium]","topMarket_project.tests","Fri May 08 07:11:42 UTC 2026","broken","Fri May 08 07:12:13 UTC 2026","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","2154","test_is_search_page[chromium]","topMarket_project.tests","Fri May 08 07:15:07 UTC 2026","passed","Fri May 08 07:15:09 UTC 2026","TestSearchProduct","test_search_product","",""
"","3035","test_feature_product[chromium]","topMarket_project.tests","Fri May 08 07:13:44 UTC 2026","passed","Fri May 08 07:13:47 UTC 2026","TestFeaturesProduct","test_features_product","",""
"","2740","test_choose_item[chromium]","topMarket_project.tests","Fri May 08 07:12:43 UTC 2026","passed","Fri May 08 07:12:46 UTC 2026","TestChooseItem","test_choose_item","",""
