"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9258","test_add_to_cart2[chromium]","topMarket_project.tests","Mon May 04 18:20:42 UTC 2026","failed","Mon May 04 18:20:51 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","23398","test_mandatory_field[chromium]","topMarket_project.tests","Mon May 04 18:25:57 UTC 2026","passed","Mon May 04 18:26:20 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","33726","test_names_item_in_cart[chromium]","topMarket_project.tests","Mon May 04 18:23:41 UTC 2026","broken","Mon May 04 18:24:15 UTC 2026","TestSearchProductInCart","test_search_product_in_cart","",""
"","60202","test_view_cart[chromium]","topMarket_project.tests","Mon May 04 18:27:08 UTC 2026","broken","Mon May 04 18:28:08 UTC 2026","TestViewCart","test_view_cart","",""
"","31376","test_add_quantity_in_cart[chromium]","topMarket_project.tests","Mon May 04 18:20:04 UTC 2026","broken","Mon May 04 18:20:36 UTC 2026","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","3523","test_add_to_cart[chromium]","topMarket_project.tests","Mon May 04 18:20:37 UTC 2026","failed","Mon May 04 18:20:41 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","1277","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","Mon May 04 18:27:05 UTC 2026","broken","Mon May 04 18:27:06 UTC 2026","TestTermsAndConditions","test_terms_and_coditions","",""
"","33717","test_close_cart[chromium]","topMarket_project.tests","Mon May 04 18:21:21 UTC 2026","broken","Mon May 04 18:21:55 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","33171","test_share_product[chromium]","topMarket_project.tests","Mon May 04 18:24:17 UTC 2026","broken","Mon May 04 18:24:50 UTC 2026","TestShareProduct","test_share_product","",""
"","21734","test_proceed_to_checkout[chromium]","topMarket_project.tests","Mon May 04 18:22:02 UTC 2026","passed","Mon May 04 18:22:24 UTC 2026","TestProceedToCheckout","test_proceed_to_checkout","",""
"","22406","test_clear_cart[chromium]","topMarket_project.tests","Mon May 04 18:20:58 UTC 2026","passed","Mon May 04 18:21:20 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","34107","test_verify_checkout_page[chromium]","topMarket_project.tests","Mon May 04 18:24:52 UTC 2026","broken","Mon May 04 18:25:26 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","27357","test_submit_successfully[chromium]","topMarket_project.tests","Mon May 04 18:25:28 UTC 2026","passed","Mon May 04 18:25:56 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","2891","test_register_success[chromium]","topMarket_project.tests","Mon May 04 18:26:55 UTC 2026","passed","Mon May 04 18:26:58 UTC 2026","TestRegister","test_subscribe","",""
"","822","test_radio_btn_must[chromium]","topMarket_project.tests","Mon May 04 18:27:02 UTC 2026","passed","Mon May 04 18:27:03 UTC 2026","TestRegister","test_subscribe","",""
"","2804","test_is_search_page[chromium]","topMarket_project.tests","Mon May 04 18:23:30 UTC 2026","passed","Mon May 04 18:23:32 UTC 2026","TestSearchProduct","test_search_product","",""
"","2908","test_feature_product[chromium]","topMarket_project.tests","Mon May 04 18:21:58 UTC 2026","passed","Mon May 04 18:22:01 UTC 2026","TestFeaturesProduct","test_features_product","",""
"","3080","test_choose_item[chromium]","topMarket_project.tests","Mon May 04 18:20:53 UTC 2026","passed","Mon May 04 18:20:56 UTC 2026","TestChooseItem","test_choose_item","",""
"","655","test_invalid_email[chromium]","topMarket_project.tests","Mon May 04 18:27:00 UTC 2026","passed","Mon May 04 18:27:01 UTC 2026","TestRegister","test_subscribe","",""
"","1862","test_product_not_found[chromium]","topMarket_project.tests","Mon May 04 18:23:38 UTC 2026","passed","Mon May 04 18:23:40 UTC 2026","TestSearchProduct","test_search_product","",""
"","62012","test_remove_product_from_cart[chromium]","topMarket_project.tests","Mon May 04 18:22:26 UTC 2026","failed","Mon May 04 18:23:28 UTC 2026","TestRemoveFromCart","test_remove_from_cart","",""
"","2482","test_search_product[chromium]","topMarket_project.tests","Mon May 04 18:23:34 UTC 2026","passed","Mon May 04 18:23:36 UTC 2026","TestSearchProduct","test_search_product","",""
"","31400","test_summary_item[chromium]","topMarket_project.tests","Mon May 04 18:26:22 UTC 2026","broken","Mon May 04 18:26:54 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
