"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2085","test_product_not_found[chromium]","topMarket_project.tests","Mon May 11 06:25:36 UTC 2026","passed","Mon May 11 06:25:39 UTC 2026","TestSearchProduct","test_search_product","",""
"","33496","test_mandatory_field[chromium]","topMarket_project.tests","Mon May 11 06:28:02 UTC 2026","broken","Mon May 11 06:28:35 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","33664","test_submit_successfully[chromium]","topMarket_project.tests","Mon May 11 06:27:26 UTC 2026","broken","Mon May 11 06:28:00 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","62189","test_remove_product_from_cart[chromium]","topMarket_project.tests","Mon May 11 06:24:24 UTC 2026","failed","Mon May 11 06:25:26 UTC 2026","TestRemoveFromCart","test_remove_from_cart","",""
"","42926","test_view_cart[chromium]","topMarket_project.tests","Mon May 11 06:29:52 UTC 2026","broken","Mon May 11 06:30:35 UTC 2026","TestViewCart","test_view_cart","",""
"","33417","test_proceed_to_checkout[chromium]","topMarket_project.tests","Mon May 11 06:23:48 UTC 2026","broken","Mon May 11 06:24:22 UTC 2026","TestProceedToCheckout","test_proceed_to_checkout","",""
"","34157","test_verify_checkout_page[chromium]","topMarket_project.tests","Mon May 11 06:26:50 UTC 2026","broken","Mon May 11 06:27:24 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","32941","test_names_item_in_cart[chromium]","topMarket_project.tests","Mon May 11 06:25:40 UTC 2026","broken","Mon May 11 06:26:13 UTC 2026","TestSearchProductInCart","test_search_product_in_cart","",""
"","3036","test_choose_item[chromium]","topMarket_project.tests","Mon May 11 06:22:42 UTC 2026","passed","Mon May 11 06:22:45 UTC 2026","TestChooseItem","test_choose_item","",""
"","2854","test_add_to_cart2[chromium]","topMarket_project.tests","Mon May 11 06:22:38 UTC 2026","failed","Mon May 11 06:22:40 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","878","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","Mon May 11 06:29:49 UTC 2026","broken","Mon May 11 06:29:50 UTC 2026","TestTermsAndConditions","test_terms_and_coditions","",""
"","3213","test_feature_product[chromium]","topMarket_project.tests","Mon May 11 06:23:44 UTC 2026","passed","Mon May 11 06:23:47 UTC 2026","TestFeaturesProduct","test_features_product","",""
"","2066","test_search_product[chromium]","topMarket_project.tests","Mon May 11 06:25:33 UTC 2026","passed","Mon May 11 06:25:35 UTC 2026","TestSearchProduct","test_search_product","",""
"","31837","test_summary_item[chromium]","topMarket_project.tests","Mon May 11 06:28:37 UTC 2026","broken","Mon May 11 06:29:09 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","326","test_radio_btn_must[chromium]","topMarket_project.tests","Mon May 11 06:29:47 UTC 2026","passed","Mon May 11 06:29:48 UTC 2026","TestRegister","test_subscribe","",""
"","31639","test_register_success[chromium]","topMarket_project.tests","Mon May 11 06:29:11 UTC 2026","broken","Mon May 11 06:29:43 UTC 2026","TestRegister","test_subscribe","",""
"","2946","test_add_to_cart[chromium]","topMarket_project.tests","Mon May 11 06:22:33 UTC 2026","passed","Mon May 11 06:22:36 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","700","test_invalid_email[chromium]","topMarket_project.tests","Mon May 11 06:29:45 UTC 2026","passed","Mon May 11 06:29:45 UTC 2026","TestRegister","test_subscribe","",""
"","2959","test_is_search_page[chromium]","topMarket_project.tests","Mon May 11 06:25:28 UTC 2026","passed","Mon May 11 06:25:31 UTC 2026","TestSearchProduct","test_search_product","",""
"","31615","test_add_quantity_in_cart[chromium]","topMarket_project.tests","Mon May 11 06:22:00 UTC 2026","broken","Mon May 11 06:22:32 UTC 2026","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","20327","test_close_cart[chromium]","topMarket_project.tests","Mon May 11 06:23:22 UTC 2026","passed","Mon May 11 06:23:42 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","33776","test_clear_cart[chromium]","topMarket_project.tests","Mon May 11 06:22:46 UTC 2026","broken","Mon May 11 06:23:20 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","32864","test_share_product[chromium]","topMarket_project.tests","Mon May 11 06:26:15 UTC 2026","broken","Mon May 11 06:26:48 UTC 2026","TestShareProduct","test_share_product","",""
