"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16056","test_register_success[chromium]","topMarket_project.tests","Wed May 13 06:31:12 UTC 2026","broken","Wed May 13 06:31:28 UTC 2026","TestRegister","test_subscribe","",""
"","17925","test_names_item_in_cart[chromium]","topMarket_project.tests","Wed May 13 06:29:29 UTC 2026","broken","Wed May 13 06:29:47 UTC 2026","TestSearchProductInCart","test_search_product_in_cart","",""
"","18046","test_close_cart[chromium]","topMarket_project.tests","Wed May 13 06:28:30 UTC 2026","broken","Wed May 13 06:28:48 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","2568","test_feature_product[chromium]","topMarket_project.tests","Wed May 13 06:28:49 UTC 2026","passed","Wed May 13 06:28:52 UTC 2026","TestFeaturesProduct","test_features_product","",""
"","374","test_invalid_email[chromium]","topMarket_project.tests","Wed May 13 06:31:30 UTC 2026","passed","Wed May 13 06:31:30 UTC 2026","TestRegister","test_subscribe","",""
"","18234","test_view_cart[chromium]","topMarket_project.tests","Wed May 13 06:31:35 UTC 2026","broken","Wed May 13 06:31:53 UTC 2026","TestViewCart","test_view_cart","",""
"","18241","test_submit_successfully[chromium]","topMarket_project.tests","Wed May 13 06:30:26 UTC 2026","broken","Wed May 13 06:30:45 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","18395","test_remove_product_from_cart[chromium]","topMarket_project.tests","Wed May 13 06:29:00 UTC 2026","broken","Wed May 13 06:29:18 UTC 2026","TestRemoveFromCart","test_remove_from_cart","",""
"","17324","test_share_product[chromium]","topMarket_project.tests","Wed May 13 06:29:48 UTC 2026","broken","Wed May 13 06:30:05 UTC 2026","TestShareProduct","test_share_product","",""
"","6066","test_proceed_to_checkout[chromium]","topMarket_project.tests","Wed May 13 06:28:53 UTC 2026","passed","Wed May 13 06:28:59 UTC 2026","TestProceedToCheckout","test_proceed_to_checkout","",""
"","7728","test_mandatory_field[chromium]","topMarket_project.tests","Wed May 13 06:30:46 UTC 2026","passed","Wed May 13 06:30:53 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","2318","test_is_search_page[chromium]","topMarket_project.tests","Wed May 13 06:29:20 UTC 2026","passed","Wed May 13 06:29:22 UTC 2026","TestSearchProduct","test_search_product","",""
"","221","test_radio_btn_must[chromium]","topMarket_project.tests","Wed May 13 06:31:32 UTC 2026","passed","Wed May 13 06:31:32 UTC 2026","TestRegister","test_subscribe","",""
"","7720","test_add_to_cart2[chromium]","topMarket_project.tests","Wed May 13 06:28:11 UTC 2026","passed","Wed May 13 06:28:19 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","5487","test_clear_cart[chromium]","topMarket_project.tests","Wed May 13 06:28:24 UTC 2026","passed","Wed May 13 06:28:29 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","2059","test_product_not_found[chromium]","topMarket_project.tests","Wed May 13 06:29:26 UTC 2026","passed","Wed May 13 06:29:28 UTC 2026","TestSearchProduct","test_search_product","",""
"","1779","test_search_product[chromium]","topMarket_project.tests","Wed May 13 06:29:23 UTC 2026","passed","Wed May 13 06:29:25 UTC 2026","TestSearchProduct","test_search_product","",""
"","999","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","Wed May 13 06:31:33 UTC 2026","passed","Wed May 13 06:31:34 UTC 2026","TestTermsAndConditions","test_terms_and_coditions","",""
"","16670","test_summary_item[chromium]","topMarket_project.tests","Wed May 13 06:30:54 UTC 2026","broken","Wed May 13 06:31:11 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","2905","test_choose_item[chromium]","topMarket_project.tests","Wed May 13 06:28:20 UTC 2026","passed","Wed May 13 06:28:23 UTC 2026","TestChooseItem","test_choose_item","",""
"","18781","test_verify_checkout_page[chromium]","topMarket_project.tests","Wed May 13 06:30:06 UTC 2026","broken","Wed May 13 06:30:25 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","16359","test_add_quantity_in_cart[chromium]","topMarket_project.tests","Wed May 13 06:27:49 UTC 2026","broken","Wed May 13 06:28:06 UTC 2026","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","3169","test_add_to_cart[chromium]","topMarket_project.tests","Wed May 13 06:28:07 UTC 2026","passed","Wed May 13 06:28:10 UTC 2026","TestAddToCart","test_add_to_cart","",""
