"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2372","test_is_search_page[chromium]","topMarket_project.tests","Tue May 12 04:54:44 UTC 2026","passed","Tue May 12 04:54:47 UTC 2026","TestSearchProduct","test_search_product","",""
"","2214","test_product_not_found[chromium]","topMarket_project.tests","Tue May 12 04:54:52 UTC 2026","passed","Tue May 12 04:54:55 UTC 2026","TestSearchProduct","test_search_product","",""
"","4182","test_add_to_cart2[chromium]","topMarket_project.tests","Tue May 12 04:52:56 UTC 2026","failed","Tue May 12 04:53:00 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","680","test_invalid_email[chromium]","topMarket_project.tests","Tue May 12 04:57:20 UTC 2026","passed","Tue May 12 04:57:21 UTC 2026","TestRegister","test_subscribe","",""
"","18132","test_share_product[chromium]","topMarket_project.tests","Tue May 12 04:55:17 UTC 2026","broken","Tue May 12 04:55:35 UTC 2026","TestShareProduct","test_share_product","",""
"","3530","test_choose_item[chromium]","topMarket_project.tests","Tue May 12 04:53:03 UTC 2026","passed","Tue May 12 04:53:06 UTC 2026","TestChooseItem","test_choose_item","",""
"","21267","test_clear_cart[chromium]","topMarket_project.tests","Tue May 12 04:53:09 UTC 2026","broken","Tue May 12 04:53:30 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","2314","test_search_product[chromium]","topMarket_project.tests","Tue May 12 04:54:48 UTC 2026","passed","Tue May 12 04:54:51 UTC 2026","TestSearchProduct","test_search_product","",""
"","19669","test_remove_product_from_cart[chromium]","topMarket_project.tests","Tue May 12 04:54:23 UTC 2026","broken","Tue May 12 04:54:43 UTC 2026","TestRemoveFromCart","test_remove_from_cart","",""
"","18940","test_view_cart[chromium]","topMarket_project.tests","Tue May 12 04:57:29 UTC 2026","broken","Tue May 12 04:57:48 UTC 2026","TestViewCart","test_view_cart","",""
"","638","test_radio_btn_must[chromium]","topMarket_project.tests","Tue May 12 04:57:23 UTC 2026","passed","Tue May 12 04:57:23 UTC 2026","TestRegister","test_subscribe","",""
"","18161","test_names_item_in_cart[chromium]","topMarket_project.tests","Tue May 12 04:54:57 UTC 2026","broken","Tue May 12 04:55:15 UTC 2026","TestSearchProductInCart","test_search_product_in_cart","",""
"","19741","test_verify_checkout_page[chromium]","topMarket_project.tests","Tue May 12 04:55:37 UTC 2026","broken","Tue May 12 04:55:57 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","17010","test_summary_item[chromium]","topMarket_project.tests","Tue May 12 04:56:42 UTC 2026","broken","Tue May 12 04:56:59 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","1405","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","Tue May 12 04:57:25 UTC 2026","broken","Tue May 12 04:57:27 UTC 2026","TestTermsAndConditions","test_terms_and_coditions","",""
"","16685","test_add_quantity_in_cart[chromium]","topMarket_project.tests","Tue May 12 04:52:31 UTC 2026","broken","Tue May 12 04:52:48 UTC 2026","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","20167","test_close_cart[chromium]","topMarket_project.tests","Tue May 12 04:53:34 UTC 2026","broken","Tue May 12 04:53:54 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","19108","test_submit_successfully[chromium]","topMarket_project.tests","Tue May 12 04:55:59 UTC 2026","broken","Tue May 12 04:56:18 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","19075","test_proceed_to_checkout[chromium]","topMarket_project.tests","Tue May 12 04:54:02 UTC 2026","broken","Tue May 12 04:54:21 UTC 2026","TestProceedToCheckout","test_proceed_to_checkout","",""
"","17267","test_register_success[chromium]","topMarket_project.tests","Tue May 12 04:57:01 UTC 2026","broken","Tue May 12 04:57:18 UTC 2026","TestRegister","test_subscribe","",""
"","3881","test_add_to_cart[chromium]","topMarket_project.tests","Tue May 12 04:52:50 UTC 2026","failed","Tue May 12 04:52:54 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","3694","test_feature_product[chromium]","topMarket_project.tests","Tue May 12 04:53:56 UTC 2026","passed","Tue May 12 04:54:00 UTC 2026","TestFeaturesProduct","test_features_product","",""
"","19534","test_mandatory_field[chromium]","topMarket_project.tests","Tue May 12 04:56:20 UTC 2026","broken","Tue May 12 04:56:40 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
