"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5416","test_names_item_in_cart[chromium]","topMarket_project.tests","Wed May 27 18:59:25 UTC 2026","failed","Wed May 27 18:59:30 UTC 2026","TestSearchProductInCart","test_search_product_in_cart","",""
"","1398","test_product_not_found[chromium]","topMarket_project.tests","Wed May 27 18:59:22 UTC 2026","passed","Wed May 27 18:59:24 UTC 2026","TestSearchProduct","test_search_product","",""
"","18711","test_add_to_cart2[chromium]","topMarket_project.tests","Wed May 27 18:58:09 UTC 2026","broken","Wed May 27 18:58:28 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","2884","test_feature_product[chromium]","topMarket_project.tests","Wed May 27 18:58:46 UTC 2026","passed","Wed May 27 18:58:49 UTC 2026","TestFeaturesProduct","test_features_product","",""
"","1847","test_search_product[chromium]","topMarket_project.tests","Wed May 27 18:59:19 UTC 2026","passed","Wed May 27 18:59:21 UTC 2026","TestSearchProduct","test_search_product","",""
"","2699","test_share_product[chromium]","topMarket_project.tests","Wed May 27 18:59:31 UTC 2026","passed","Wed May 27 18:59:34 UTC 2026","TestShareProduct","test_share_product","",""
"","23917","test_view_cart[chromium]","topMarket_project.tests","Wed May 27 19:00:51 UTC 2026","broken","Wed May 27 19:01:15 UTC 2026","TestViewCart","test_view_cart","",""
"","16644","test_add_quantity_in_cart[chromium]","topMarket_project.tests","Wed May 27 18:57:48 UTC 2026","broken","Wed May 27 18:58:04 UTC 2026","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","704","test_invalid_email[chromium]","topMarket_project.tests","Wed May 27 19:00:45 UTC 2026","passed","Wed May 27 19:00:46 UTC 2026","TestRegister","test_subscribe","",""
"","3579","test_add_to_cart[chromium]","topMarket_project.tests","Wed May 27 18:58:05 UTC 2026","passed","Wed May 27 18:58:09 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","6360","test_proceed_to_checkout[chromium]","topMarket_project.tests","Wed May 27 18:58:50 UTC 2026","passed","Wed May 27 18:58:56 UTC 2026","TestProceedToCheckout","test_proceed_to_checkout","",""
"","18332","test_submit_successfully[chromium]","topMarket_project.tests","Wed May 27 18:59:42 UTC 2026","broken","Wed May 27 19:00:01 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","8454","test_mandatory_field[chromium]","topMarket_project.tests","Wed May 27 19:00:02 UTC 2026","passed","Wed May 27 19:00:10 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","6492","test_verify_checkout_page[chromium]","topMarket_project.tests","Wed May 27 18:59:35 UTC 2026","passed","Wed May 27 18:59:41 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","15663","test_register_success[chromium]","topMarket_project.tests","Wed May 27 19:00:29 UTC 2026","broken","Wed May 27 19:00:44 UTC 2026","TestRegister","test_subscribe","",""
"","2332","test_is_search_page[chromium]","topMarket_project.tests","Wed May 27 18:59:15 UTC 2026","passed","Wed May 27 18:59:18 UTC 2026","TestSearchProduct","test_search_product","",""
"","679","test_radio_btn_must[chromium]","topMarket_project.tests","Wed May 27 19:00:47 UTC 2026","passed","Wed May 27 19:00:47 UTC 2026","TestRegister","test_subscribe","",""
"","5400","test_clear_cart[chromium]","topMarket_project.tests","Wed May 27 18:58:33 UTC 2026","passed","Wed May 27 18:58:38 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","18086","test_remove_product_from_cart[chromium]","topMarket_project.tests","Wed May 27 18:58:56 UTC 2026","broken","Wed May 27 18:59:15 UTC 2026","TestRemoveFromCart","test_remove_from_cart","",""
"","2783","test_choose_item[chromium]","topMarket_project.tests","Wed May 27 18:58:29 UTC 2026","passed","Wed May 27 18:58:32 UTC 2026","TestChooseItem","test_choose_item","",""
"","907","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","Wed May 27 19:00:48 UTC 2026","passed","Wed May 27 19:00:49 UTC 2026","TestTermsAndConditions","test_terms_and_coditions","",""
"","16403","test_summary_item[chromium]","topMarket_project.tests","Wed May 27 19:00:11 UTC 2026","broken","Wed May 27 19:00:27 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","5459","test_close_cart[chromium]","topMarket_project.tests","Wed May 27 18:58:39 UTC 2026","passed","Wed May 27 18:58:45 UTC 2026","TestClearCart","test_clear_close_cart","",""
