"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16573","test_summary_item[chromium]","topMarket_project.tests","2026-06-01","broken","2026-06-01","TestSubmitThePurchase","test_submit_the_purchase","",""
"","8172","test_add_to_cart2[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestAddToCart","test_add_to_cart","",""
"","1768","test_search_product[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestSearchProduct","test_search_product","",""
"","3058","test_choose_item[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestChooseItem","test_choose_item","",""
"","1722","test_product_not_found[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestSearchProduct","test_search_product","",""
"","701","test_radio_btn_must[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestRegister","test_subscribe","",""
"","5963","test_proceed_to_checkout[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestProceedToCheckout","test_proceed_to_checkout","",""
"","4784","test_names_item_in_cart[chromium]","topMarket_project.tests","2026-06-01","failed","2026-06-01","TestSearchProductInCart","test_search_product_in_cart","",""
"","5981","test_clear_cart[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestClearCart","test_clear_close_cart","",""
"","496","test_invalid_email[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestRegister","test_subscribe","",""
"","22418","test_view_cart[chromium]","topMarket_project.tests","2026-06-01","broken","2026-06-01","TestViewCart","test_view_cart","",""
"","23506","test_remove_product_from_cart[chromium]","topMarket_project.tests","2026-06-01","broken","2026-06-01","TestRemoveFromCart","test_remove_from_cart","",""
"","16455","test_add_quantity_in_cart[chromium]","topMarket_project.tests","2026-06-01","broken","2026-06-01","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","17756","test_submit_successfully[chromium]","topMarket_project.tests","2026-06-01","broken","2026-06-01","TestSubmitThePurchase","test_submit_the_purchase","",""
"","1985","test_is_search_page[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestSearchProduct","test_search_product","",""
"","4842","test_close_cart[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestClearCart","test_clear_close_cart","",""
"","2372","test_feature_product[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestFeaturesProduct","test_features_product","",""
"","17904","test_verify_checkout_page[chromium]","topMarket_project.tests","2026-06-01","broken","2026-06-01","TestSubmitThePurchase","test_submit_the_purchase","",""
"","9306","test_mandatory_field[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestSubmitThePurchase","test_submit_the_purchase","",""
"","1796","test_register_success[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestRegister","test_subscribe","",""
"","3187","test_share_product[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestShareProduct","test_share_product","",""
"","3251","test_add_to_cart[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestAddToCart","test_add_to_cart","",""
"","1151","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","2026-06-01","passed","2026-06-01","TestTermsAndConditions","test_terms_and_coditions","",""
