"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46139","test_remove_product_from_cart[chromium]","topMarket_project.tests","Tue May 05 18:32:50 UTC 2026","failed","Tue May 05 18:33:36 UTC 2026","TestRemoveFromCart","test_remove_from_cart","",""
"","21406","test_clear_cart[chromium]","topMarket_project.tests","Tue May 05 18:31:32 UTC 2026","passed","Tue May 05 18:31:53 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","26177","test_submit_successfully[chromium]","topMarket_project.tests","Tue May 05 18:35:21 UTC 2026","passed","Tue May 05 18:35:47 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","59453","test_view_cart[chromium]","topMarket_project.tests","Tue May 05 18:37:27 UTC 2026","broken","Tue May 05 18:38:26 UTC 2026","TestViewCart","test_view_cart","",""
"","31656","test_add_quantity_in_cart[chromium]","topMarket_project.tests","Tue May 05 18:30:24 UTC 2026","broken","Tue May 05 18:30:56 UTC 2026","TestAddQuantityInCart","test_add_quantity_in_cart","",""
"","23056","test_proceed_to_checkout[chromium]","topMarket_project.tests","Tue May 05 18:32:25 UTC 2026","passed","Tue May 05 18:32:48 UTC 2026","TestProceedToCheckout","test_proceed_to_checkout","",""
"","22558","test_mandatory_field[chromium]","topMarket_project.tests","Tue May 05 18:35:49 UTC 2026","passed","Tue May 05 18:36:11 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","32447","test_share_product[chromium]","topMarket_project.tests","Tue May 05 18:34:23 UTC 2026","broken","Tue May 05 18:34:55 UTC 2026","TestShareProduct","test_share_product","",""
"","33040","test_names_item_in_cart[chromium]","topMarket_project.tests","Tue May 05 18:33:48 UTC 2026","broken","Tue May 05 18:34:21 UTC 2026","TestSearchProductInCart","test_search_product_in_cart","",""
"","1848","test_is_search_page[chromium]","topMarket_project.tests","Tue May 05 18:33:38 UTC 2026","passed","Tue May 05 18:33:40 UTC 2026","TestSearchProduct","test_search_product","",""
"","23493","test_add_to_cart2[chromium]","topMarket_project.tests","Tue May 05 18:31:02 UTC 2026","failed","Tue May 05 18:31:26 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","1776","test_product_not_found[chromium]","topMarket_project.tests","Tue May 05 18:33:45 UTC 2026","passed","Tue May 05 18:33:47 UTC 2026","TestSearchProduct","test_search_product","",""
"","447","test_invalid_email[chromium]","topMarket_project.tests","Tue May 05 18:37:20 UTC 2026","passed","Tue May 05 18:37:21 UTC 2026","TestRegister","test_subscribe","",""
"","213","test_radio_btn_must[chromium]","topMarket_project.tests","Tue May 05 18:37:23 UTC 2026","passed","Tue May 05 18:37:23 UTC 2026","TestRegister","test_subscribe","",""
"","31677","test_summary_item[chromium]","topMarket_project.tests","Tue May 05 18:36:13 UTC 2026","broken","Tue May 05 18:36:44 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","20913","test_close_cart[chromium]","topMarket_project.tests","Tue May 05 18:31:55 UTC 2026","passed","Tue May 05 18:32:16 UTC 2026","TestClearCart","test_clear_close_cart","",""
"","2820","test_choose_item[chromium]","topMarket_project.tests","Tue May 05 18:31:27 UTC 2026","passed","Tue May 05 18:31:30 UTC 2026","TestChooseItem","test_choose_item","",""
"","2788","test_feature_product[chromium]","topMarket_project.tests","Tue May 05 18:32:21 UTC 2026","passed","Tue May 05 18:32:23 UTC 2026","TestFeaturesProduct","test_features_product","",""
"","1730","test_search_product[chromium]","topMarket_project.tests","Tue May 05 18:33:42 UTC 2026","passed","Tue May 05 18:33:43 UTC 2026","TestSearchProduct","test_search_product","",""
"","22052","test_verify_checkout_page[chromium]","topMarket_project.tests","Tue May 05 18:34:57 UTC 2026","passed","Tue May 05 18:35:19 UTC 2026","TestSubmitThePurchase","test_submit_the_purchase","",""
"","3042","test_add_to_cart[chromium]","topMarket_project.tests","Tue May 05 18:30:58 UTC 2026","passed","Tue May 05 18:31:01 UTC 2026","TestAddToCart","test_add_to_cart","",""
"","31612","test_register_success[chromium]","topMarket_project.tests","Tue May 05 18:36:46 UTC 2026","broken","Tue May 05 18:37:18 UTC 2026","TestRegister","test_subscribe","",""
"","1073","test_is_terms_and_conditions_page[chromium]","topMarket_project.tests","Tue May 05 18:37:24 UTC 2026","broken","Tue May 05 18:37:25 UTC 2026","TestTermsAndConditions","test_terms_and_coditions","",""
